"","num_id","s_id","Turbidity","Nitrogen","dominant_landcover","Longitude","lat","E.Coli","Phosphorus","period","Trend","percent_annual_change"
"68",68,"ARC-00029",36,36,"Pastoral",174.8424849,-37.17048948,36,36,"2008-2017","Worsening",">2% worsening"
"69",69,"ARC-00030",36,36,"Native",175.1007314,-37.09236018,36,36,"2008-2017","Indeterminate","0-1% worsening"
"70",70,"ARC-00031",36,36,"Exotic forest",174.5357421,-36.7359823599999,36,36,"2008-2017","Indeterminate",">2% worsening"
"71",71,"ARC-00033",36,36,"Pastoral",174.5213655,-36.55759883,36,36,"2008-2017","Indeterminate",">2% improving"
"72",72,"ARC-00034",108,108,"Urban area",174.86288,-36.88050847,108,108,"2008-2017","Indeterminate","1-2% worsening"
"73",73,"CCC-00001",119,36,"Urban area",172.607143039645,-43.5205388507386,119,116,"2008-2017","Indeterminate","0-1% worsening"
"74",74,"CCC-00002",119,36,"Urban area",172.606912800299,-43.5217171712234,118,117,"2008-2017","Indeterminate","0-1% worsening"
"75",75,"CCC-00003",119,36,"Urban area",172.608167139613,-43.5228555508091,119,117,"2008-2017","Indeterminate","0-1% improving"
"76",76,"CCC-00005",111,36,"Urban area",172.616582809408,-43.5319746913629,111,37,"2008-2017","Indeterminate","0-1% worsening"
"77",77,"CCC-00006",111,36,"Urban area",172.621618409949,-43.5338815106614,111,108,"2008-2017","Worsening",">2% worsening"
"78",78,"CCC-00007",111,36,"Urban area",172.639752459984,-43.5280441411019,111,108,"2008-2017","Indeterminate","1-2% improving"
"79",79,"CCC-00008",111,108,"Urban area",172.660679760413,-43.5130764610211,111,109,"2008-2017","Indeterminate","0-1% worsening"
"80",80,"CCC-00009",119,36,"Urban area",172.672840599418,-43.5215813613539,120,117,"2008-2017","Indeterminate","0-1% worsening"
"81",81,"CCC-00010",111,108,"Urban area",172.682610700532,-43.5028421811862,111,109,"2008-2017","Indeterminate",">2% improving"
"82",82,"CCC-00012",120,36,"Urban area",172.721444749668,-43.5092882811924,120,117,"2008-2017","Improving",">2% improving"
"83",83,"CCC-00013",118,36,"Urban area",172.723932149484,-43.5252884612488,118,116,"2008-2017","Improving",">2% improving"
"84",84,"CCC-00022",120,108,"Urban area",172.643315069598,-43.5703855413648,119,120,"2008-2017","Improving",">2% improving"
"85",85,"CCC-00023",120,108,"Urban area",172.666603039551,-43.5539299813105,119,120,"2008-2017","Improving",">2% improving"
"86",86,"CCC-00026",120,36,"Urban area",172.691399960458,-43.5546470308336,119,120,"2008-2017","Improving",">2% improving"
"87",87,"CCC-00027",120,36,"Urban area",172.708931450575,-43.558238810833,119,120,"2008-2017","Improving",">2% improving"
"88",88,"CCC-00039",36,108,"Pastoral",172.60298596014,-43.4523965510645,36,110,"2008-2017","Indeterminate","0-1% worsening"
"89",89,"CCC-00041",120,119,"Urban area",172.702286810073,-43.5503283405566,120,120,"2008-2017","Improving",">2% improving"
"90",90,"EBOP-00003",37,37,"Pastoral",176.391024996516,-37.8381825623138,37,37,"2008-2017","Indeterminate","0-1% worsening"
"91",91,"EBOP-00005",115,115,"Pastoral",176.10905100685,-37.7345190847611,116,116,"2008-2017","Worsening",">2% worsening"
"92",92,"EBOP-00006",116,116,"Pastoral",176.151710788233,-37.6981654963477,117,117,"2008-2017","Worsening",">2% worsening"
"93",93,"EBOP-00007",119,118,"Pastoral",176.344899232591,-38.0171952726902,116,118,"2008-2017","Indeterminate","0-1% worsening"
"94",94,"EBOP-00010",116,238,"Pastoral",176.212236339448,-38.0823617836286,243,245,"1998-2017","Worsening","1-2% worsening"
"95",95,"EBOP-00010",116,238,"Pastoral",176.212236339448,-38.0823617836286,114,109,"1990-2017","Worsening","1-2% worsening"
"96",96,"EBOP-00010",116,238,"Pastoral",176.212236339448,-38.0823617836286,108,109,"1990-2017","Worsening","1-2% worsening"
"97",97,"EBOP-00010",116,108,"Pastoral",176.212236339448,-38.0823617836286,114,109,"1990-2017","Worsening","1-2% worsening"
"98",98,"EBOP-00010",116,116,"Pastoral",176.212236339448,-38.0823617836286,243,245,"1998-2017","Worsening","1-2% worsening"
"99",99,"EBOP-00010",116,108,"Pastoral",176.212236339448,-38.0823617836286,108,116,"2008-2017","Worsening",">2% worsening"
"100",100,"EBOP-00010",116,238,"Pastoral",176.212236339448,-38.0823617836286,243,109,"1990-2017","Worsening","1-2% worsening"
"101",101,"EBOP-00010",116,238,"Pastoral",176.212236339448,-38.0823617836286,114,245,"1998-2017","Worsening","1-2% worsening"
"102",102,"EBOP-00010",116,108,"Pastoral",176.212236339448,-38.0823617836286,114,116,"2008-2017","Worsening",">2% worsening"
"103",103,"EBOP-00010",116,238,"Pastoral",176.212236339448,-38.0823617836286,108,116,"2008-2017","Worsening",">2% worsening"
"104",104,"EBOP-00010",116,238,"Pastoral",176.212236339448,-38.0823617836286,108,245,"1998-2017","Worsening","1-2% worsening"
"105",105,"EBOP-00010",116,116,"Pastoral",176.212236339448,-38.0823617836286,114,116,"2008-2017","Worsening",">2% worsening"
"106",106,"EBOP-00010",116,116,"Pastoral",176.212236339448,-38.0823617836286,243,109,"1990-2017","Worsening","1-2% worsening"
"107",107,"EBOP-00010",116,108,"Pastoral",176.212236339448,-38.0823617836286,108,109,"1990-2017","Worsening","1-2% worsening"
"108",108,"EBOP-00010",116,108,"Pastoral",176.212236339448,-38.0823617836286,243,109,"1990-2017","Worsening","1-2% worsening"
"109",109,"EBOP-00010",116,116,"Pastoral",176.212236339448,-38.0823617836286,243,116,"2008-2017","Worsening",">2% worsening"
"110",110,"EBOP-00010",116,238,"Pastoral",176.212236339448,-38.0823617836286,243,116,"2008-2017","Worsening",">2% worsening"
"111",111,"EBOP-00010",116,116,"Pastoral",176.212236339448,-38.0823617836286,108,109,"1990-2017","Worsening","1-2% worsening"
"112",112,"EBOP-00010",116,116,"Pastoral",176.212236339448,-38.0823617836286,114,245,"1998-2017","Worsening","1-2% worsening"
"113",113,"EBOP-00010",116,108,"Pastoral",176.212236339448,-38.0823617836286,114,245,"1998-2017","Worsening","1-2% worsening"
"114",114,"EBOP-00010",116,108,"Pastoral",176.212236339448,-38.0823617836286,243,116,"2008-2017","Worsening",">2% worsening"
"115",115,"EBOP-00010",116,116,"Pastoral",176.212236339448,-38.0823617836286,108,116,"2008-2017","Worsening",">2% worsening"
"116",116,"EBOP-00010",116,238,"Pastoral",176.212236339448,-38.0823617836286,114,116,"2008-2017","Worsening",">2% worsening"
"117",117,"EBOP-00010",116,108,"Pastoral",176.212236339448,-38.0823617836286,243,245,"1998-2017","Worsening","1-2% worsening"
"118",118,"EBOP-00010",116,116,"Pastoral",176.212236339448,-38.0823617836286,114,109,"1990-2017","Worsening","1-2% worsening"
"119",119,"EBOP-00010",116,116,"Pastoral",176.212236339448,-38.0823617836286,108,245,"1998-2017","Worsening","1-2% worsening"
"120",120,"EBOP-00010",116,108,"Pastoral",176.212236339448,-38.0823617836286,108,245,"1998-2017","Worsening","1-2% worsening"
"121",121,"EBOP-00012",119,110,"Pastoral",176.331334024599,-38.04374524973,247,110,"1990-2017","Improving","1-2% improving"
"122",122,"EBOP-00012",119,119,"Pastoral",176.331334024599,-38.04374524973,108,110,"1990-2017","Improving","1-2% improving"
"123",123,"EBOP-00012",119,119,"Pastoral",176.331334024599,-38.04374524973,117,249,"1998-2017","Improving",">2% improving"
"124",124,"EBOP-00012",119,119,"Pastoral",176.331334024599,-38.04374524973,247,249,"1998-2017","Improving",">2% improving"
"125",125,"EBOP-00012",119,119,"Pastoral",176.331334024599,-38.04374524973,117,119,"2008-2017","Improving",">2% improving"
"126",126,"EBOP-00012",119,119,"Pastoral",176.331334024599,-38.04374524973,247,119,"2008-2017","Improving",">2% improving"
"127",127,"EBOP-00012",119,243,"Pastoral",176.331334024599,-38.04374524973,247,249,"1998-2017","Improving",">2% improving"
"128",128,"EBOP-00012",119,243,"Pastoral",176.331334024599,-38.04374524973,247,119,"2008-2017","Improving",">2% improving"
"129",129,"EBOP-00012",119,119,"Pastoral",176.331334024599,-38.04374524973,247,110,"1990-2017","Improving","1-2% improving"
